WORT,WORTART,NOMEN,VERB_ADJEKTIV,VA INTERPUNKTION
alptraum,N,0,0,0
altar,N,0,0,0
altbau,N,0,0,0
alter,N,0,0,0
altklug,A,0,0,0
amateur,N,0,0,0
amboß,N,0,0,0
amerika,N,0,0,0
ami,N,0,0,0
ampel,N,0,0,0
ampulle,N,0,0,0
amsel,N,0,0,0
amt,N,0,0,0
amulett,N,0,0,0
anbahnen,V,0,0,0
anbau,N,0,0,0
anbieten,V,0,0,0
änderung,N,0,0,0
anekdote,N,0,0,0
anekeln,V,0,0,0
anerkennen,V,0,0,0
anfall,N,0,0,0
anfallen,V,0,0,0
anfang,N,2,0,0
anflug,N,0,0,0
angeben,V,0,0,0
angebot,N,1,0,0
angehen,V,0,0,0
angeklagte,N,0,0,0
angel,N,0,0,0
angeregt,A,0,0,0
angler,N,0,0,0
angriff,N,0,0,0
angst,N,0,0,0
anheizen,V,0,0,0
anker,N,0,0,0
anklage,N,0,0,0
anklagen,V,0,0,0
anklang,N,0,0,0
anlegen,V,0,0,0
anleihe,N,1,0,0
anlocken,V,0,0,0
anmut,N,0,0,0
anmutig,A,0,0,0
annahme,N,0,0,0
annehmen,V,0,0,0
anomal,A,0,0,0
anomalie,N,0,0,0
anonym,A,0,0,0
anormal,A,0,0,0
anpumpen,V,0,0,0
anregung,N,0,0,0
anreiz,N,0,0,0
anruf,N,0,0,0
anrufen,V,0,0,0
ansporn,N,0,0,0
ansprechen,V,0,0,0
anstehen,V,0,0,0
anteil,N,2,0,0
antrag,N,0,0,0
antwort,N,0,0,0
antworten,V,0,0,0
anwalt,N,0,0,0
anwidern,V,0,0,0
anzahl,N,0,0,0
apathie,N,0,0,0
apfel,N,0,0,0
appetit,N,0,0,0
applaus,N,0,0,0
aquarium,N,0,0,0
arbeit,N,0,0,0
arbeiten,V,0,0,0
arbeiter,N,0,0,0
archiv,N,0,0,0
arg,A,0,0,0
ärger,N,0,0,0
ärgernis,N,0,0,0
argwohn,N,0,0,0
armee,N,0,0,0
armut,N,0,0,0
aroma,N,0,0,0
arrest,N,0,0,0
arroganz,N,0,0,0
arsch,N,0,0,0
arsen,N,0,0,0
arsenal,N,0,0,0
arzt,N,0,0,0
asche,N,0,0,0
aschfahl,A,0,0,0
aschgrau,A,0,0,0
askese,N,0,0,0
asket,N,0,0,0
asozial,A,0,0,0
asyl,N,0,0,0
atemnot,N,0,0,0
atlas,N,0,0,0
atmung,N,0,0,0
atombombe,N,0,0,0
attentat,N,0,0,0
aufatmen,V,0,0,0
aufbau,N,1,0,0
aufbauen,V,0,0,0
aufbruch,N,0,0,0
aufenthalt,N,0,0,0
auffordern,V,0,0,0
aufgabe,N,0,0,0
aufgeben,V,0,1,0
aufhalten,V,0,0,0
aufhören,V,0,0,0
aufleben,V,0,0,0
aufnahme,N,0,0,0
aufnehmen,V,0,0,0
aufpreis,N,0,0,0
aufsatz,N,0,0,0
aufseher,N,0,0,0
aufstand,N,0,0,0
aufstieg,N,1,0,0
auftrag,N,0,0,0
auftreten,V,0,0,0
aufwind,N,0,0,0
aufzucht,N,0,0,0
auge,N,1,0,0
august,N,1,0,0
ausbaden,V,0,0,0
ausbau,N,0,0,0
ausbildung,N,0,0,0
ausblick,N,0,0,0
ausbruch,N,0,0,0
ausdauer,N,0,0,0
ausfall,N,2,0,0
ausflug,N,0,0,0
ausgabe,N,0,0,0
ausgeben,V,0,0,0
auskunft,N,0,0,0
auslösen,V,0,0,0
ausmaß,N,1,0,0
ausnahme,N,0,0,0
ausreden,V,0,0,0
aussage,N,0,0,0
aussetzen,V,0,0,0
aussicht,N,0,0,0
ausstieg,N,0,0,0
auswahl,N,1,0,0
auswirkung,N,0,0,0
auswurf,N,0,0,0
autark,A,0,0,0
autonom,A,0,0,0
autorität,N,0,0,0
aversion,N,0,0,0
baby,N,0,0,0
bach,N,0,0,0
bad,N,0,0,0
bagger,N,0,0,0
bahre,N,0,0,0
bakterie,N,0,0,0
balance,N,0,0,0
balken,N,0,0,0
balkon,N,0,0,0
ball,N,0,0,0
ballast,N,0,0,0
ballon,N,0,0,0
balsam,N,0,0,0
baltikum,N,0,0,0
banane,N,0,0,0
bandit,N,0,0,0
bank,N,3,0,0
bankrott,A,0,0,0
banner,N,0,0,0
bar,N,0,0,0
barbar,N,0,0,0
bargeld,N,0,0,0
barriere,N,0,0,0
barsch,N,0,0,0
basis,N,1,0,0
bastard,N,0,0,0
batterie,N,0,0,0
bauen,V,0,0,0
bauer,N,0,0,0
baum,N,0,0,0
bazille,N,0,0,0
beachten,V,0,0,0
beamte,N,0,0,0
beantragen,V,0,0,0
beben,V,0,0,0
becher,N,0,0,0
bedarf,N,1,0,0
bedauern,V,0,0,0
bedenken,N,0,0,0
bedeuten,V,0,0,0
bedeutung,N,1,0,0
bedienen,V,0,0,0
bedingung,N,0,0,0
bedrohen,V,0,0,0
bedürfen,V,0,0,0
bedürfnis,N,0,0,0
beenden,V,0,0,0
befallen,V,0,0,0
befangen,A,0,0,0
befehl,N,0,0,0
befinden,N,0,0,0
befreien,V,0,0,0
befreier,N,0,0,0
befreiung,N,0,0,0
befugnis,N,0,0,0
befund,N,0,0,0
befürchten,V,0,0,0
begabung,N,0,0,0
begegnen,V,0,0,0
begegnung,N,0,0,0
begeistern,V,0,0,0
begierde,N,0,0,0
beginn,N,0,0,0
begleiten,V,0,0,0
begnadet,A,0,0,0
begraben,V,0,0,0
begreifen,V,0,0,0
begründen,V,0,0,0
begrüßen,V,0,0,0
behandeln,V,0,0,0
behandlung,N,0,0,0
behaupten,V,0,0,0
behörde,N,0,0,0
behutsam,A,0,0,0
beichte,N,0,0,0
beifall,N,0,0,0
beihilfe,N,0,0,0
beil,N,0,0,0
beileid,N,0,0,0
beispiel,N,1,0,0
beitragen,V,0,0,0
bejubeln,V,0,0,0
bekennen,V,0,0,0
bekommen,V,0,0,0
belastung,N,0,0,0
beleg,N,0,0,0
belegen,V,0,0,0
beliebt,A,0,0,0
belohnen,V,0,0,0
beneiden,V,0,0,0
bengel,N,0,0,0
benötigen,V,0,0,0
benzin,N,1,0,0
bequem,A,0,0,0
beraten,V,0,0,0
beratung,N,0,0,0
berauben,V,0,0,0
bereich,N,0,0,0
bereiten,V,0,0,0
bereuen,V,0,0,0
bericht,N,0,0,0
berichten,V,0,0,0
beruf,N,0,0,0
berühren,V,0,0,0
beseitigen,V,0,0,0
besen,N,0,0,0
besetzen,V,0,0,0
besorgt,A,0,0,0
bestätigen,V,0,0,0
besteck,N,0,0,0
bestehen,V,0,1,0
bestellen,V,0,0,0
bestie,N,0,0,0
bestimmen,V,0,0,0
bestimmung,N,0,0,0
bestreiten,V,0,0,0
besuch,N,0,0,0
besuchen,V,0,0,0
besucher,N,0,0,0
beteiligen,V,0,0,0
betonen,V,0,1,0
betrachten,V,0,0,0
betrag,N,1,0,0
betragen,V,0,1,0
betreffen,V,0,0,0
betrieb,N,1,0,0
betrug,N,0,0,0
bett,N,0,0,0
betteln,V,0,0,0
beule,N,0,0,0
beutel,N,0,0,0
bewahren,V,0,0,0
bewähren,V,0,0,0
bewegen,V,0,0,0
bewegung,N,0,0,0
beweis,N,0,0,0
beweisen,V,0,0,0
bewerber,N,0,0,0
bezahlen,V,0,0,0
bezeichnen,V,0,0,0
beziehung,N,0,0,0
bibel,N,0,0,0
biber,N,0,0,0
biene,N,0,0,0
bier,N,0,0,0
biest,N,0,0,0
bieten,V,0,1,0
bikini,N,0,0,0
bilanz,N,1,0,0
bild,N,0,0,0
bilden,V,0,0,0
bildung,N,0,0,0
billigen,V,0,0,0
binden,V,0,0,0
birke,N,0,0,0
birne,N,0,0,0
bischof,N,0,0,0
bitte,N,0,0,0
bitten,V,0,0,0
bitter,A,0,0,0
blamage,N,0,0,0
blase,N,0,0,0
blei,N,0,0,0
bleiben,V,0,1,0
blick,N,0,0,0
blitz,N,0,0,0
blondine,N,0,0,0
blume,N,0,0,0
bluse,N,0,0,0
blut,N,0,0,0
blüte,N,0,0,0
blutig,A,0,0,0
bluttat,N,0,0,0
boden,N,1,0,0
bodenlos,A,0,0,0
bogen,N,0,0,0
bohne,N,0,0,0
bohrer,N,0,0,0
bombe,N,0,0,0
bomber,N,0,0,0
bonbon,N,0,0,0
boot,N,0,0,0
börse,N,3,0,0
borste,N,0,0,0
boshaft,A,0,0,0
botschaft,N,0,0,0
brauchen,V,0,0,0
brause,N,0,0,0
braut,N,0,0,0
brechen,V,0,1,0
brennen,V,0,0,0
brezel,N,0,0,0
brief,N,0,0,0
brigade,N,0,0,0
brillant,A,0,0,0
brille,N,0,0,0
britisch,A,0,0,0
bronze,N,0,0,0
brot,N,0,0,0
brücke,N,0,0,0
bruder,N,0,0,0
brunnen,N,0,0,0
brust,N,0,0,0
brutal,A,0,0,0
buch,N,0,0,0
buche,N,0,0,0
buddha,N,0,0,0
bühne,N,0,0,0
bulle,N,0,0,0
bullig,A,0,0,0
bumerang,N,0,0,0
bündnis,N,0,0,0
bunker,N,0,0,0
bunt,A,0,0,0
burg,N,0,0,0
büro,N,0,0,0
bursche,N,0,0,0
bürste,N,0,0,0
busen,N,0,0,0
butter,N,0,0,0
cello,N,0,0,0
chance,N,0,0,0
chaos,N,0,0,0
charakter,N,0,0,0
charme,N,0,0,0
chef,N,0,0,0
christus,N,0,0,0
dachs,N,0,0,0
dackel,N,0,0,0
dame,N,0,0,0
dampfer,N,0,0,0
dank,N,0,0,0
danken,V,0,0,0
darlehen,N,0,0,0
darm,N,0,0,0
darstellen,V,0,0,0
dasein,N,0,0,0
datum,N,0,0,0
dauer,N,2,0,0
dauern,V,0,0,0
daumen,N,0,0,0
debatte,N,0,0,0
decke,N,0,0,0
deckel,N,0,0,0
defensiv,A,0,0,0
defizit,N,0,0,0
dekadent,A,0,0,0
delikt,N,0,0,0
delle,N,0,0,0
demokrat,N,0,0,0
demokratie,N,0,0,0
demut,N,0,0,0
denker,N,0,0,0
derb,A,0,0,0
dessert,N,0,0,0
detail,N,0,0,0
deutung,N,0,0,0
diagnose,N,0,0,0
dialekt,N,0,0,0
diamant,N,0,0,0
dichter,N,0,0,0
dieb,N,0,0,0
diele,N,0,0,0
dienen,V,0,0,0
diener,N,0,0,0
dienst,N,0,0,0
diffus,A,0,0,0
diktatur,N,0,0,0
dilemma,N,0,0,0
ding,N,0,0,0
diplom,N,0,0,0
diplomat,N,0,0,0
dirne,N,0,0,0
diskussion,N,0,0,0
distel,N,0,0,0
dogge,N,0,0,0
doktor,N,0,0,0
dokument,N,0,0,0
dolch,N,0,0,0
dominanz,N,0,0,0
donner,N,0,0,0
dose,N,0,0,0
dosis,N,0,0,0
dozent,N,0,0,0
drache,N,0,0,0
drama,N,0,0,0
drängen,V,0,0,0
dreck,N,0,0,0
drillen,V,0,0,0
dringen,V,0,0,0
droge,N,0,0,0
drohen,V,0,0,0
drohung,N,0,0,0
druck,N,1,0,0
drücken,V,0,0,0
duell,N,0,0,0
duft,N,0,0,0
duften,V,0,0,0
dummheit,N,0,0,0
durst,N,0,0,0
dusche,N,0,0,0
echse,N,0,0,0
effekt,N,1,0,0
egoismus,N,0,0,0
ehe,N,0,0,0
ehelos,A,0,0,0
ehre,N,0,0,0
ehrgeiz,N,0,0,0
ehrlich,A,0,0,0
ehrung,N,0,0,0
eiche,N,0,0,0
eid,N,0,0,0
eidechse,N,0,0,0
eifel,N,0,0,0
eifer,N,0,0,0
eifrig,A,0,0,0
eigelb,N,0,0,0
eigenart,N,0,0,0
eigentum,N,0,0,0
eimer,N,0,0,0
eindruck,N,1,0,0
einengen,V,0,0,0
einfall,N,0,0,0
einfalt,N,0,0,0
eingehen,V,0,0,0
einheit,N,0,0,0
einigung,N,0,0,0
einklang,N,0,0,0
einladen,V,0,0,0
einladung,N,0,0,0
einnahme,N,0,0,0
einsam,A,0,0,0
einsatz,N,0,0,0
einsetzen,V,0,0,0
einsicht,N,0,0,0
einstellen,V,0,0,0
einsturz,N,0,0,0
eintracht,N,0,0,0
eintreten,V,0,0,0
eintritt,N,0,0,0
eis,N,0,0,0
eitel,A,0,0,0
ekel,N,0,0,0
ekstase,N,0,0,0
elch,N,0,0,0
elefant,N,0,0,0
elend,A,0,0,0
embargo,N,0,0,0
emotion,N,0,0,0
empfangen,V,0,0,0
empfehlen,V,0,0,0
empfinden,V,0,0,0
ende,N,2,0,0
enden,V,0,0,0
endziel,N,0,0,0
energie,N,0,0,0
engel,N,0,0,0
enkel,N,0,0,0
entdecken,V,0,0,0
ente,N,0,0,0
entfallen,V,0,0,0
entfernen,V,0,0,0
entfernung,N,0,0,0
enthalten,V,0,0,0
entlassen,V,0,0,0
entsetzt,A,0,0,0
entstehen,V,0,0,0
entwurf,N,0,0,0
entziehen,V,0,0,0
entzug,N,0,0,0
erbe,N,0,0,0
erbeten,V,0,0,0
erbin,N,0,0,0
erbitten,V,0,0,0
erbse,N,0,0,0
erdbeben,N,0,0,0
erdbeere,N,0,0,0
erde,N,0,0,0
erfahren,V,0,0,0
erfahrung,N,0,0,0
erfassen,V,0,0,0
erfinder,N,0,0,0
erfolg,N,2,0,0
erfolgen,V,0,0,0
erfordern,V,0,1,0
erfüllen,V,0,0,0
erfüllung,N,0,0,0
ergänzen,V,0,0,0
ergeben,V,0,0,0
ergebnis,N,0,0,0
ergreifen,V,0,0,0
erhalten,V,0,2,0
erheben,V,0,0,0
erholung,N,0,0,0
erinnern,V,0,0,0
erinnerung,N,0,0,0
erkennen,V,0,0,0
erkenntnis,N,0,0,0
erlauben,V,0,0,0
erleben,V,0,0,0
erlebnis,N,0,0,0
erledigen,V,0,0,0
erleiden,V,0,0,0
ermitteln,V,0,0,0
ernte,N,0,0,0
erotik,N,0,0,0
erreger,N,0,0,0
erreichen,V,0,0,0
errichten,V,0,0,0
errichtung,N,0,0,0
ersaufen,V,0,0,0
ersetzen,V,0,0,0
erteilen,V,0,0,0
ertrag,N,0,0,0
erwarten,V,0,1,0
erwartung,N,1,0,0
erweitern,V,0,0,0
erwerb,N,0,0,0
erwerben,V,0,0,0
erzählen,V,0,0,0
erzeugen,V,0,0,0
erzeuger,N,0,0,0
erzeugnis,N,0,0,0
erzfeind,N,0,0,0
erzielen,V,0,1,0
esel,N,0,0,0
essen,V,0,0,0
essig,N,0,0,0
ethik,N,0,0,0
eule,N,0,0,0
euphorie,N,0,0,0
euter,N,0,0,0
ewigkeit,N,0,0,0
existenz,N,0,0,0
fabel,N,0,0,0
fabrik,N,0,0,0
fächer,N,0,0,0
faden,N,0,0,0
fähigkeit,N,0,0,0
fahndung,N,0,0,0
fahne,N,0,0,0
fahren,V,0,0,0
fahrer,N,0,0,0
fahrrad,N,0,0,0
fahrt,N,1,0,0
fall,N,1,0,0
falle,N,0,0,0
fallen,V,0,1,0
fällen,V,0,0,0
falte,N,0,0,0
familie,N,0,0,0
fangen,V,0,0,0
fantasie,N,0,0,0
farbe,N,0,0,0
fasan,N,0,0,0
fasching,N,0,0,0
faschismus,N,0,0,0
fassade,N,0,0,0
fassen,V,0,0,0
faust,N,0,0,0
feder,N,0,0,0
fee,N,0,0,0
fehde,N,0,0,0
fehlen,V,0,0,0
fehler,N,0,0,0
feier,N,0,0,0
feiern,V,0,0,0
feiertag,N,0,0,0
feigling,N,0,0,0
feile,N,0,0,0
feind,N,0,0,0
fenster,N,0,0,0
ferien,N,0,0,0
fernrohr,N,0,0,0
fernsehen,N,0,0,0
ferse,N,0,0,0
fessel,N,0,0,0
fest,N,0,0,0
festlegen,V,0,0,0
festtag,N,0,0,0
festung,N,0,0,0
fett,N,0,0,0
feucht,A,0,0,0
feuer,N,0,0,0
feurig,A,0,0,0
fibel,N,0,0,0
fichte,N,0,0,0
fieber,N,0,0,0
figur,N,0,0,0
film,N,0,0,0
filmstar,N,0,0,0
filter,N,0,0,0
finale,N,0,0,0
finden,V,0,0,0
finder,N,0,0,0
finger,N,0,0,0
firma,N,0,0,0
fisch,N,0,0,0
flagge,N,0,0,0
flamingo,N,0,0,0
flamme,N,0,0,0
flasche,N,0,0,0
flaute,N,0,0,0
flegel,N,0,0,0
fleisch,N,0,0,0
flexibel,A,0,0,0
fliege,N,0,0,0
fliegen,V,0,0,0
fließen,V,0,0,0
flirt,N,0,0,0
floß,N,0,0,0
flöte,N,0,0,0
fluch,N,0,0,0
flucht,N,0,0,0
flüchtling,N,0,0,0
flughafen,N,0,0,0
flugzeug,N,0,0,0
flut,N,0,0,0
fohlen,N,0,0,0
föhn,N,0,0,0
folge,N,0,0,0
folter,N,0,0,0
foltern,V,0,0,0
fordern,V,0,0,0
fördern,V,0,0,0
forderung,N,1,0,0
förderung,N,0,0,0
form,N,0,0,0
forsch,A,0,0,0
forscher,N,0,0,0
forschung,N,0,0,0
fortsetzen,V,0,0,0
fortuna,N,0,0,0
foto,N,0,0,0
fracht,N,0,0,0
frage,N,1,0,0
fragen,V,0,0,0
fraktion,N,0,0,0
frau,N,0,0,0
fräulein,N,0,0,0
fraulich,A,0,0,0
freier,N,0,0,0
freiheit,N,0,0,0
freitod,N,0,0,0
freizeit,N,0,0,0
freude,N,1,0,0
freudig,A,0,0,0
freudlos,A,0,0,0
freuen,V,0,1,0
freund,N,0,0,0
frevel,N,0,0,0
friede,N,0,0,0
frieden,N,0,0,0
friedhof,N,0,0,0
frist,N,0,0,0
frisur,N,0,0,0
froh,A,0,0,0
fromm,A,0,0,0
front,N,0,0,0
frosch,N,0,0,0
frühjahr,N,0,0,0
fuchs,N,0,0,0
fühlen,V,0,0,0
führer,N,0,0,0
führung,N,0,0,0
füllen,V,0,0,0
füller,N,0,0,0
fund,N,0,0,0
funke,N,0,0,0
funktionär,N,0,0,0
furcht,N,0,0,0
fürchten,V,0,0,0
fusion,N,0,0,0
futter,N,0,0,0
gabel,N,0,0,0
galgen,N,0,0,0
galle,N,0,0,0
ganove,N,0,0,0
gans,N,0,0,0
garaus,N,0,0,0
garten,N,0,0,0
gas,N,1,0,0
gast,N,0,0,0
gatte,N,0,0,0
gauner,N,0,0,0
gebein,N,0,0,0
gebet,N,0,0,0
gebiet,N,0,0,0
gebot,N,0,0,0
geburt,N,0,0,0
geburtstag,N,0,0,0
gedanke,N,0,0,0
gedenken,V,0,0,0
gedicht,N,0,0,0
geduld,N,0,0,0
gefahr,N,0,0,0
gefährden,V,0,0,0
gefallen,V,0,3,0
gefängnis,N,0,0,0
gefühl,N,0,0,0
gegend,N,0,0,0
gegensatz,N,0,0,0
gegenteil,N,1,0,0
gegner,N,0,0,0
gehalt,N,0,0,0
geheim,A,0,0,0
geheimnis,N,0,0,0
gehen,V,0,0,0
geheul,N,0,0,0
gehirn,N,0,0,0
gehören,V,0,0,0
geier,N,0,0,0
geige,N,0,0,0
geisel,N,0,0,0
geist,N,0,0,0
geiz,N,0,0,0
gejammer,N,0,0,0
gekicher,N,0,0,0
gelaunt,A,0,0,0
geld,N,2,0,0
geldgier,N,0,0,0
gelenk,N,0,0,0
geliebte,N,0,0,0
gelingen,V,0,0,0
gelten,V,0,1,0
gemein,A,0,0,0
gemeinde,N,0,0,0
gemetzel,N,0,0,0
gemse,N,0,0,0
gemüse,N,0,0,0
general,N,0,0,0
genial,A,0,0,0
genie,N,0,0,0
genießen,V,0,0,0
genosse,N,0,0,0
gerede,N,0,0,0
gericht,N,0,0,0
geruch,N,0,0,0
gesang,N,0,0,0
geschehen,N,0,0,0
geschenk,N,0,0,0
geschichte,N,1,0,0
geschrei,N,0,0,0
gesetz,N,0,0,0
gesicht,N,0,0,0
gesindel,N,0,0,0
gespräch,N,0,0,0
gestalten,V,0,0,0
gestaltung,N,0,0,0
gestank,N,0,0,0
geste,N,0,0,0
gestehen,V,0,0,0
gesund,A,0,0,0
gesundheit,N,0,0,0
gewalt,N,0,0,0
geweih,N,0,0,0
gewicht,N,0,0,0
gewinn,N,0,0,0
gewinnen,V,0,0,0
gewissen,N,0,0,0
gewitter,N,0,0,0
ghetto,N,0,0,0
giebel,N,0,0,0
gierig,A,0,0,0
gift,N,0,0,0
giftgas,N,0,0,0
gigant,N,0,0,0
giraffe,N,0,0,0
girlande,N,0,0,0
gitarre,N,0,0,0
gitter,N,0,0,0
glanz,N,0,0,0
glas,N,0,0,0
glaube,N,0,0,0
glauben,V,0,1,0
globus,N,0,0,0
glocke,N,0,0,0
glück,N,0,0,0
glut,N,0,0,0
gnade,N,0,0,0
gold,N,8,0,0
gott,N,0,0,0
grab,N,0,0,0
granate,N,0,0,0
grandios,A,0,0,0
gras,N,0,0,0
gratis,A,0,0,0
grausam,A,0,0,0
greifen,V,0,0,0
grenze,N,0,0,0
greuel,N,0,0,0
grinsen,V,0,0,0
großmacht,N,0,0,0
grube,N,0,0,0
grund,N,2,0,0
gründen,V,0,0,0
grundlage,N,0,0,0
grundstück,N,0,0,0
gründung,N,0,0,0
gruppe,N,0,0,0
gruselig,A,0,0,0
gruß,N,0,0,0
gummi,N,0,0,0
gurgel,N,0,0,0
gurke,N,0,0,0
gurt,N,0,0,0
gürtel,N,0,0,0
gutartig,A,0,0,0
guttun,V,0,0,0
habgier,N,0,0,0
hafen,N,0,0,0
hafer,N,0,0,0
haftung,N,0,0,0
hagel,N,0,0,0
hahn,N,0,0,0
hai,N,0,0,0
halbtot,A,0,0,0
halle,N,0,0,0
halunke,N,0,0,0
hammer,N,0,0,0
hamster,N,0,0,0
hand,N,0,0,0
handikap,N,0,0,0
hanf,N,0,0,0
hängen,V,0,0,0
hantel,N,0,0,0
harfe,N,0,0,0
harmonie,N,0,0,0
hase,N,0,0,0
hassen,V,0,0,0
haube,N,0,0,0
haus,N,0,0,0
hausfrau,N,0,0,0
haushalt,N,0,0,0
haustier,N,0,0,0
hebel,N,0,0,0
heben,V,0,0,0
hefe,N,0,0,0
hehlerei,N,0,0,0
heide,N,0,0,0
heilfroh,A,0,0,0
heilung,N,0,0,0
heimat,N,0,0,0
heimkehr,N,0,0,0
heirat,N,0,0,0
heiraten,V,0,0,0
heißen,V,0,0,0
heiter,A,0,0,0
heizung,N,0,0,0
held,N,0,0,0
helfen,V,0,0,0
helfer,N,0,0,0
hemd,N,0,0,0
hemmnis,N,0,0,0
henker,N,0,0,0
henne,N,0,0,0
herbst,N,0,0,0
herd,N,0,0,0
herde,N,0,0,0
hering,N,0,0,0
heroisch,A,0,0,0
herr,N,0,0,0
herrschaft,N,0,0,0
herrschen,V,0,0,0
herstellen,V,0,0,0
herz,N,0,0,0
herzlos,A,0,0,0
hetzen,V,0,0,0
hetzer,N,0,0,0
heucheln,V,0,0,0
heulen,V,0,0,0
hexe,N,0,0,0
hilfe,N,1,0,0
hilflos,A,0,0,0
himbeere,N,0,0,0
himmel,N,0,0,0
hinweis,N,0,0,0
hirsch,N,0,0,0
hirse,N,0,0,0
hirte,N,0,0,0
hitze,N,0,0,0
hobby,N,0,0,0
hobel,N,0,0,0
hochmut,N,0,0,0
hochschule,N,0,0,0
hochzeit,N,0,0,0
hocker,N,0,0,0
hoffen,V,0,0,0
hoffnung,N,0,0,0
höhe,N,1,0,0
höhepunkt,N,0,0,0
holen,V,0,0,0
honig,N,0,0,0
horde,N,0,0,0
hormon,N,0,0,0
hornisse,N,0,0,0
horoskop,N,0,0,0
horror,N,0,0,0
hose,N,0,0,0
hotel,N,0,0,0
huhn,N,0,0,0
human,A,0,0,0
hummer,N,0,0,0
humor,N,0,0,0
humorlos,A,0,0,0
hunger,N,0,0,0
hupe,N,0,0,0
hure,N,0,0,0
hypnose,N,0,0,0
hypothek,N,0,0,0
ideell,A,0,0,0
idiot,N,0,0,0
idylle,N,0,0,0
igel,N,0,0,0
iglu,N,0,0,0
illegal,A,0,0,0
imker,N,0,0,0
impfung,N,0,0,0
import,N,1,0,0
impuls,N,0,0,0
industrie,N,2,0,0
inferno,N,0,0,0
inhalt,N,0,0,0
initiative,N,0,0,0
insekt,N,0,0,0
insel,N,0,0,0
instinkt,N,0,0,0
instrument,N,0,0,0
intensiv,A,0,0,0
interesse,N,0,0,0
intim,A,0,0,0
intrige,N,0,0,0
irre,A,0,0,0
irrlehre,N,0,0,0
irrsinn,N,0,0,0
irrtum,N,0,0,0
islam,N,0,0,0
jacke,N,0,0,0
japan,N,1,0,0
jauche,N,0,0,0
jawort,N,0,0,0
jazz,N,0,0,0
job,N,0,0,0
jubel,N,0,0,0
jugend,N,0,0,0
junge,N,0,0,0
jungfrau,N,0,0,0
justiz,N,0,0,0
juwel,N,0,0,0
kabel,N,0,0,0
käfer,N,0,0,0
kaffee,N,0,0,0
käfig,N,0,0,0
kakao,N,0,0,0
kaktee,N,0,0,0
kaktus,N,0,0,0
kalorie,N,0,0,0
kamel,N,0,0,0
kamera,N,0,0,0
kamerad,N,0,0,0
kamin,N,0,0,0
kamm,N,0,0,0
kammer,N,0,0,0
kampf,N,0,0,0
kämpfen,V,0,0,0
kampflos,A,0,0,0
kanal,N,0,0,0
kandidatur,N,0,0,0
känguruh,N,0,0,0
kanne,N,0,0,0
kanon,N,0,0,0
kanone,N,0,0,0
kante,N,0,0,0
kanzel,N,0,0,0
kanzler,N,0,0,0
kappe,N,0,0,0
karaffe,N,0,0,0
kargheit,N,0,0,0
karriere,N,0,0,0
karte,N,0,0,0
kartei,N,0,0,0
karton,N,0,0,0
käse,N,0,0,0
kasino,N,0,0,0
kasperl,N,0,0,0
kasse,N,0,0,0
kassette,N,0,0,0
kastanie,N,0,0,0
kater,N,0,0,0
katze,N,0,0,0
kauf,N,0,0,0
kaufen,V,0,0,0
kegel,N,0,0,0
kehle,N,0,0,0
kehren,V,0,0,0
keks,N,0,0,0
keller,N,0,0,0
kennen,V,0,0,0
kenntnis,N,0,0,0
